;;5;-1;-1;CUSTO DE PROJETOS E CONSULTORIAS;
ALP;10060 CUSTO;5.01;C00448;;CUSTO DE PROJETOS;
ALP;10060 CUSTO;5.01;C00448;I19806;CUSTO DE PROJETOS;Contrataá∆o de todas as disciplinas de projetos, tais como arquitetura, oráamentos, planejamentos/ oráamentos (ex: Projeto impermeabilizaá∆o, projeto estrututal concreto, projeto estrutura met†lica, projeto de fundaá∆o contená∆o, projeto hidro-sanit†rio, projeto GLP e Incàndio, projeto exaust∆o, projeto ar condicionado e pressurizaá∆o, projeto eletrìnico e SPDA, SDAI, CFTV, automaá∆o e som, projeto paisagismo, etc) .
ALP;10060 CUSTO;5.02;C00449;;CUSTO DE CONSULTORIAS E LAUDOS;
ALP;10060 CUSTO;5.02;C00449;I19807;CUSTO DE CONSULTORIAS E LAUDOS;Contrataá∆o de serviáo onde o documento final Ç um laudo, como sondagem, topografia, estudos de impacto ambiental, tÇrmico, ac£stico, vizinhanáa, transito e validaá∆o.
ALP;10060 CUSTO;5.03;C00450;;COPIAS HELIOGRAFICAS;
ALP;10060 CUSTO;5.03;C00450;I19808;COPIAS HELIOGRAFICAS;Impress∆o de projetos e fotoc¢pias referentes a aprovaá∆o e execuá∆o do empreendimento.
ALP;10060 CUSTO;6;-1;-1;CUSTO DE LEGALIZACAO E APROVACOES;
ALP;10060 CUSTO;6.01;C00473;;DESPESAS CARTORIOS (APROVACAO);
ALP;10060 CUSTO;6.01;C00473;I19838;DESPESAS CARTORIOS (APROVACAO);Custo com emiss∆o de certid‰es, registro de incorparaá∆o e escrituraá∆o, autenticaá∆o, reconhecimento de firma, patrimonio de afetaá∆o, averbaá∆o, procuraá‰es, taxas diversas.
ALP;10060 CUSTO;6.02;C00474;;CONSULTORIAS JURIDICAS;
ALP;10060 CUSTO;6.02;C00474;I19839;CONSULTORIAS JURIDICAS;Consultoria juridica atrelada a serviáos.
ALP;10060 CUSTO;6.03;C00475;;CUSTO DE LEGALIZACAO E APROVACOES;
ALP;10060 CUSTO;6.03;C00475;I19840;CUSTO DE LEGALIZACAO E APROVACOES;Alvar†, certid‰es, outorga, taxas, aprovaá‰es de projetos e habite-se, ART's e taxas CREA, AVTO (SANEAGO, CMTC,SEINFRA), liberaá∆o de carga, licenáa ambiental, contrapartidas ambientais, consultorias, quadros NBR, alvar† de construá∆o, contrapartidas de prefeitura. 
