ADM;10070 DESPESA;8;-1;-1;DESPESA ADMINISTRATIVA
ADM;10070 DESPESA;8,01;-1;;
ADM;10070 DESPESA;08.01.01;C00482;;DESPESAS FINANCEIRAS
ADM;10070 DESPESA;08.01.01;C00482;I19847;DESPESAS FINANCEIRAS
ADM;10070 DESPESA;08.01.02;C00483;;DESPESAS JURIDICAS
ADM;10070 DESPESA;08.01.02;C00483;I19848;DESPESAS JURIDICAS
ADM;10071 DESPESA;08.01.03;C00484;;DESPESAS CONTABEIS
ADM;10072 DESPESA;08.01.03;C00484;I19849;DESPESAS CONTABEIS
ADM;10073 DESPESA;08.01.04;C00485;;DESPESAS COM AUDITORIA
ADM;10074 DESPESA;08.01.04;C00485;I19850;DESPESAS COM AUDITORIA
ADM;10075 DESPESA;08.01.05;C00493;;TAXAS E CERTIDOES E ANUIDADES
ADM;10076 DESPESA;08.01.05;C00493;I19858;TAXAS E CERTIDOES E ANUIDADES
ADM;10077 DESPESA;08.01.06;C00585;;VIAGENS E ESTADIAS ATRELADO A ADMINISTRACAO
ADM;10078 DESPESA;08.01.06;C00585;I20318;VIAGENS E ESTADIAS ATRELADO A ADMINISTRACAO
ADM;10079 DESPESA;08.01.07;C00371;;TAXA DE ADMINISTRACAO
ADM;10080 DESPESA;08.01.07;C00371;I19720;TAXA DE ADMINISTRACAO
APT;10081 DESPESA;13,02;-1;;APORTES HOLDING
APT;10082 DESPESA;13.02.01;C14075;;APORTES HOLDING
APT;10083 DESPESA;13.02.01;C14075;;INSUMO NOMINAL 
CAQ;10084 DESPESA;7;-1;;CUSTO DE AQUISICAO
CAQ;10085 DESPESA;7,23;C14076;;CUSTO AQUISICAO DE COTAS
CAQ;10086 DESPESA;7,24;C14387;;CUSTO AQUISICAO DE NEGOCIOS
DIS;10087 DESPESA;13,03;-1;;DISTRIBUICAO DE LUCRO GERAL
DIS;10088 DESPESA;13.03.01;C00502;;DISTRIBUICAO FUNDO
EMP;10089 DESPESA;12;-1;;EMPRESTIMO
EMP;10090 DESPESA;12,04;C00499;;EMPRESTIMO A SOCIOS / TERCEIROS
